,date,apple stock,S&P 500,NASDAQ,day of week,tick_neutral,tick_polar,name_neutral,name_polar,tick_volume,name_volume,target
15,20200928,1.3140630443038583,1.3844561901898325,1.2381345202800973,0,0.016031700024827424,0.2403082631929256,-0.04458141435320606,0.2403082631929256,183,8637,1
16,20200929,-0.33938480716758346,-0.2451408737093532,-0.27402660644739035,1,0.3045248489074041,0.4226075240056989,0.06637406306433895,0.4226075240056989,99,3150,0
17,20200930,-0.28146114213569245,0.0445116663003589,-0.13760234514904435,2,-0.5032505220351043,-0.5151199717337495,-0.4239811469290539,-0.5151199717337495,81,3293,0
18,20201001,0.8401439747042592,0.8173553545454609,0.8474287415892218,3,0.7538250030806736,0.22795104502914587,-0.3543315554826654,0.22795104502914587,101,3417,1
19,20201002,-2.1771374205340894,-2.1030167865913616,-2.2591729278325814,4,0.36055642373085495,0.17708080061468903,-0.4346911144632256,0.17708080061468903,79,2747,0
20,20201005,0.3451654064157175,0.6359879467118709,0.5912040697717778,0,-0.18919668494180863,-0.061141308435475814,0.2329328855526668,-0.061141308435475814,149,7628,1
21,20201006,-0.5447530852065094,-0.20814262744960405,-0.3535312637650818,1,0.7284630226624873,0.8137194175014777,0.46707218163911407,0.8137194175014777,73,3883,0
22,20201007,0.6453094634647241,0.849837589800001,0.7850337236570071,2,-0.32357680404198913,-0.42877336545936057,-1.1369796998809607,-0.42877336545936057,90,4650,1
23,20201008,0.4926019845129132,0.4550721399788016,0.46186079493710347,3,-0.17420209789489036,-0.3993517815277211,-1.359487164099666,-0.3993517815277211,89,4457,1
24,20201009,0.03974643105717618,0.36482902250153915,0.3595817090629979,4,-1.0493014704432997,-0.4645646225098587,-0.30967080199699354,-0.4645646225098587,87,3697,1
25,20201012,1.5036266546887782,0.8178069556459818,1.082739802223263,0,0.22062505844714664,0.22221835946430255,-0.4422186835862394,0.22221835946430255,149,8757,1
26,20201013,0.33462762216140696,-0.22392663664585905,0.012893318319551778,1,0.8626994903005537,0.16714913909882864,0.09522250800132866,0.16714913909882864,172,3961,1
27,20201014,-0.1761475788713014,-0.054741443865345005,0.010110325965224966,2,-0.298310363655981,-0.41095638560366227,-1.5041565602022415,-0.41095638560366227,259,20385,0
28,20201015,-1.424133792574426,-1.7912578219781017,-1.962990084726534,3,-0.0890701070298308,-0.26728655312609695,0.3581412339569436,-0.26728655312609695,150,10417,0
29,20201016,0.17665727726482033,0.24392108883280852,0.2022603039916298,4,1.1838505153082144,0.37642302815766343,2.0818636122446055,0.37642302815766343,89,4961,1
30,20201019,0.37149178850435544,0.22993246937764883,0.3103523857300985,0,0.5710115798248704,0.8031390766046925,1.0946599356181574,0.8031390766046925,146,11549,1
31,20201020,-0.007647484630243572,0.34769021000372147,0.24433453751414463,1,0.7108076338334681,0.40263190629684364,1.7434742847056868,0.40263190629684364,85,3534,1
32,20201021,-0.5658166013503716,-0.3592858055312586,-0.08491486563621216,2,-0.19610539295228083,0.24983879828322528,2.76354673970159,0.24983879828322528,100,4588,0
33,20201022,0.1819201432095961,-0.08181548057462258,0.15436484089956154,3,1.659786306985684,1.7680231880566402,0.7200036635597045,1.7680231880566402,71,4200,1
34,20201023,0.21351742615284916,0.3003161530929799,0.05083423183652797,4,0.9167245828426689,1.283677269679699,1.0688303694321026,1.283677269679699,80,4131,1
35,20201026,-0.6658632812150672,-1.2958844586896356,-1.1096571125073724,0,1.330909744069144,1.8856420549226456,1.5887732290959653,1.8856420549226456,165,11809,0
36,20201027,0.10819984543353842,-0.11610412023124629,0.2228280995570392,1,0.514939681278012,0.6135808220028712,0.7329846313126155,0.6135808220028712,91,3755,1
37,20201028,-0.9396809561754358,-2.389045503135918,-1.8921555189742452,2,0.6304865182836217,1.1206735094068665,0.19730786201470574,1.1206735094068665,81,3974,0
38,20201029,0.4926060019678329,0.06255368099921842,0.3003978361550064,3,0.09960600219821193,-0.0012062192160863937,0.20842443816344677,-0.0012062192160863937,91,3985,1
39,20201030,-2.366705048373929,-0.9597720786312121,-0.894485694768844,4,0.17099859974787054,0.13326329273141202,0.8253427769920556,0.13326329273141202,200,3936,0
40,20201102,0.008153165568842796,0.969390720167169,0.6314174859212811,0,-0.2340544022421092,-0.020261635147273433,0.3821248883011091,-0.020261635147273433,271,11038,1
41,20201103,0.3451654064157175,0.9590149095161765,0.48125117066029766,1,0.01298324046896387,0.48248370642827504,-0.22866803586948217,0.48248370642827504,85,3990,1
42,20201104,1.8248382453365666,1.4683768922598022,2.185636378760903,2,1.2432968781136984,1.2240844463793914,0.8023182200866695,1.2240844463793914,82,4109,1
43,20201105,1.4562367564562781,1.6939571493004877,1.6995760602609775,3,1.5097185491238334,1.7507539438926076,2.282595699522212,1.7507539438926076,69,3394,1
44,20201106,-0.49735916951908976,-0.30964272845692414,-0.379409799178245,4,0.2373848119432673,0.7584797930030607,0.3484131577801261,0.7584797930030607,129,3742,0
45,20201109,0.8296102079048683,3.106091761307376,1.0746460700211826,0,2.060016352855387,2.237556550870522,-0.3552407123831017,2.237556550870522,186,10973,1
46,20201110,-0.5289524350074232,-0.5410937998043813,-0.9722201054706174,1,0.9763496385758926,1.3810883696473133,-0.016953701398689045,1.3810883696473133,81,3944,0
47,20201111,0.5189323840564708,0.5836462776953993,0.6645499156071127,2,0.46178091915379055,0.42811747933381467,-0.9697922925127052,0.42811747933381467,89,7469,1
48,20201112,-0.05503336540782398,-0.6651629411767583,-0.06661133899813966,3,0.9973388333277519,0.4670724191801328,-0.8737680450955069,0.4670724191801328,99,5316,1
49,20201113,-0.0023765837756284398,0.4875543752333417,0.5175124083184494,4,0.689391561862692,1.3135592128822486,-1.4933074550408598,1.3135592128822486,68,5355,1
50,20201116,-0.3025286757344743,0.46273834402666864,-0.051856539297093364,0,0.8991914980395962,0.6327185636051016,-0.4944983809379519,0.6327185636051016,109,11406,0
51,20201117,-0.5184226856629519,-0.9633738727743909,-0.2929970632058784,1,-0.7320711582738029,-1.0206331545747211,-0.8611074061909021,-1.0206331545747211,45,3598,0
52,20201118,-0.5342193184071186,-0.09895429307244027,-0.22976220734425148,2,-0.23617623025022622,-0.790679556342441,-0.664608014517221,-0.790679556342441,56,3944,0
53,20201119,-0.35518545736666984,-0.5925322666198111,-0.39231201521147024,3,-1.2270143836932725,-1.0728479719452135,-2.1906686725363484,-1.0728479719452135,58,4093,0
54,20201120,-0.12349079723910587,-0.3299537633193765,-0.30336329804048634,4,0.7730822850957799,0.13566563859324035,-1.1776767489228757,0.13566563859324035,55,3994,0
55,20201123,-0.20774084435963477,0.20422425063092228,0.31886603689688525,0,-0.9665254656511877,-0.9659244615389652,-0.7882326017212666,-0.9659244615389652,78,9503,0
56,20201124,-0.09189351429585281,0.5493576380387756,0.29281459367472534,1,-3.936828869557606,-3.1730461737269655,0.3054434565967379,-3.1730461737269655,47,3901,1
57,20201125,0.0766105974001247,-0.21038961829122027,-0.05793301372754658,2,-0.41919586316131524,-0.896143374748339,-1.0024839862041737,-0.896143374748339,64,3633,1
58,20201127,0.16086064452065363,0.1870854381331046,0.34406940848444256,4,-0.7331077279394038,-1.2207803616334163,1.5380440107359417,-1.2207803616334163,70,6210,1
59,20201130,0.0766105974001247,-0.4025954525373121,-0.04696571841404565,0,-1.478244421292029,-1.631736621703616,0.19085298368007708,-1.631736621703616,95,8143,1
60,20201201,0.9085973890806214,0.8791696320118831,0.764293020282601,1,-1.267881827009465,-1.2410294388533214,-0.7317081364318625,-1.2410294388533214,90,3353,1
61,20201202,-0.49209630357431394,-0.6056066692129406,-0.7869041027521749,2,-0.02886006289022439,-0.5947531881530973,0.3764964546327596,-0.5947531881530973,111,3493,0
62,20201203,0.10819984543353842,-0.2473878645509694,-0.03440931799881373,3,-2.7673837581944065,-2.3613072219732176,0.013282684364239046,-2.3613072219732176,66,3455,1
